typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","96","BRN","Brunei Darussalam","X","Export","458","MYS","Malaysia","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","440.334","true","0","false","0","3730.28","3730.28","4","true","false",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","95","false","5","u","95","false","4038","false","0","false","0","49854.423","49854.423","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","16","ASM","American Samoa","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","47","false","0","false","0","1347.825","1347.825","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","36","AUS","Australia","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","49","false","0","false","0","1274.659","1274.659","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","152","CHL","Chile","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","100","false","0","false","0","2470.711","2470.711","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","5","u","4","false","50","false","0","false","0","2347.357","2347.357","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","422","LBN","Lebanon","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false","32","false","0","false","0","888.875","888.875","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","480","MUS","Mauritius","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","5","u","2","false","28","false","0","false","0","1064.232","1064.232","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","579","NOR","Norway","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10","false","5","u","10","false","138","false","0","false","0","3179.393","3179.393","0","false","true",
"C","A","20210101","2021","52","2021","100","BGR","Bulgaria","X","Export","643","RUS","Russian Federation","0","W00","World","H5","HS","true","850231","Electric generating sets; wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false","69","false","0","false","0","1892.035","1892.035","0","false","true",
